id,order_id,product_variant_id,quantity,unit_price,icms_rate,ipi_rate,line_total,id_variant,product_id,id_order,placed_at,status,ano_mes
457,150,148,2,1235.13,17.0,10.0,2470.26,148,74,150,2025-01-13 05:12:49,paid,2025-01
820,262,147,5,3400.77,17.0,5.0,17003.85,147,74,262,2022-04-01 07:44:41,cancelled,2022-04
1020,328,147,1,3400.77,17.0,5.0,3400.77,147,74,328,2023-03-07 03:00:18,paid,2023-03
1222,397,148,7,1235.13,17.0,10.0,8645.91,148,74,397,2020-02-13 02:02:06,paid,2020-02
1652,533,147,3,3400.77,17.0,5.0,10202.31,147,74,533,2024-06-20 11:12:42,confirmed,2024-06
1737,563,148,1,1235.13,17.0,10.0,1235.13,148,74,563,2024-03-22 15:47:59,paid,2024-03
1777,576,148,2,1235.13,17.0,10.0,2470.26,148,74,576,2024-02-04 04:28:47,paid,2024-02
1844,599,148,2,1235.13,17.0,10.0,2470.26,148,74,599,2021-03-05 14:23:56,confirmed,2021-03
2058,666,486,9,1758.87,18.0,0.0,15829.83,486,240,666,2020-01-11 11:20:28,paid,2020-01
2751,889,148,8,1235.13,17.0,10.0,9881.04,148,74,889,2022-05-05 11:06:29,draft,2022-05
2892,935,148,1,1235.13,17.0,10.0,1235.13,148,74,935,2024-09-18 13:00:32,cancelled,2024-09
2904,939,147,4,3400.77,17.0,5.0,13603.08,147,74,939,2023-04-27 03:56:27,confirmed,2023-04
2937,953,486,3,1758.87,18.0,0.0,5276.61,486,240,953,2021-09-10 18:25:23,paid,2021-09
3281,1067,148,2,1235.13,17.0,10.0,2470.26,148,74,1067,2025-07-18 23:47:37,paid,2025-07
3466,1132,486,7,1758.87,18.0,0.0,12312.09,486,240,1132,2026-02-27 01:02:56,paid,2026-02
4158,1355,148,3,1235.13,17.0,10.0,3705.39,148,74,1355,2026-02-21 19:13:34,paid,2026-02
4241,1380,147,8,3400.77,17.0,5.0,27206.16,147,74,1380,2025-03-04 18:05:26,paid,2025-03
4855,1577,147,5,3400.77,17.0,5.0,17003.85,147,74,1577,2025-09-19 06:51:09,cancelled,2025-09
4931,1604,148,7,1235.13,17.0,10.0,8645.91,148,74,1604,2026-09-28 06:44:00,paid,2026-09
5363,1743,148,5,1235.13,17.0,10.0,6175.65,148,74,1743,2024-05-02 20:41:08,paid,2024-05
5588,1821,486,4,1758.87,18.0,0.0,7035.48,486,240,1821,2024-03-30 00:53:51,paid,2024-03
5959,1948,147,4,3400.77,17.0,5.0,13603.08,147,74,1948,2026-03-19 00:30:50,paid,2026-03
6244,2041,147,6,3400.77,17.0,5.0,20404.62,147,74,2041,2024-04-27 10:30:54,paid,2024-04
6482,2118,148,1,1235.13,17.0,10.0,1235.13,148,74,2118,2025-04-01 19:36:22,paid,2025-04
6521,2130,148,2,1235.13,17.0,10.0,2470.26,148,74,2130,2025-03-02 00:36:33,paid,2025-03
7969,2618,148,7,1235.13,17.0,10.0,8645.91,148,74,2618,2020-02-28 13:33:26,paid,2020-02
8792,2894,148,3,1235.13,17.0,10.0,3705.39,148,74,2894,2022-03-19 03:27:41,paid,2022-03
9841,3239,147,9,3400.77,17.0,5.0,30606.93,147,74,3239,2023-01-30 03:55:44,paid,2023-01
9934,3273,148,2,1235.13,17.0,10.0,2470.26,148,74,3273,2026-01-29 01:35:31,cancelled,2026-01
9992,3293,486,5,1758.87,18.0,0.0,8794.35,486,240,3293,2023-12-19 10:55:29,paid,2023-12
10310,3392,148,5,1235.13,17.0,10.0,6175.65,148,74,3392,2024-07-06 14:32:40,paid,2024-07
10458,3443,486,9,1758.87,18.0,0.0,15829.83,486,240,3443,2025-08-05 22:35:21,paid,2025-08
10464,3445,147,6,3400.77,17.0,5.0,20404.62,147,74,3445,2020-01-24 07:08:29,paid,2020-01
10632,3502,486,5,1758.87,18.0,0.0,8794.35,486,240,3502,2026-02-17 15:30:45,paid,2026-02
10691,3520,147,8,3400.77,17.0,5.0,27206.16,147,74,3520,2024-05-21 00:56:02,paid,2024-05
11414,3757,147,6,3400.77,17.0,5.0,20404.62,147,74,3757,2024-09-09 08:50:53,paid,2024-09
11769,3877,148,4,1235.13,17.0,10.0,4940.52,148,74,3877,2022-02-13 00:54:06,draft,2022-02
12240,4032,486,3,1758.87,18.0,0.0,5276.61,486,240,4032,2026-02-24 07:37:28,cancelled,2026-02
12396,4084,486,3,1758.87,18.0,0.0,5276.61,486,240,4084,2021-05-03 13:31:10,confirmed,2021-05
12829,4241,486,8,1758.87,18.0,0.0,14070.96,486,240,4241,2024-11-02 11:14:27,paid,2024-11
12993,4298,148,1,1235.13,17.0,10.0,1235.13,148,74,4298,2024-10-05 05:14:22,paid,2024-10
